,Down,Yards,Quarter,DefendersInTheBox
264327,2,5,3,7.0
264348,2,-2,3,6.0
264361,1,17,3,8.0
264383,1,22,3,8.0
264415,2,3,3,7.0
264427,1,4,3,9.0
264449,2,2,3,9.0
264471,1,5,3,6.0
264493,2,1,3,6.0
264514,2,9,4,5.0
264537,2,0,4,7.0
264559,3,4,4,6.0
264581,1,2,4,8.0
264603,1,1,4,8.0
264625,2,2,4,6.0
264647,1,-1,4,8.0
264680,1,1,4,8.0
264700,1,1,4,6.0
264722,2,-3,4,7.0
264735,1,7,4,8.0
264757,2,2,4,8.0
264779,1,1,4,8.0
264801,2,0,4,8.0
264832,1,3,4,6.0
264854,1,2,5,6.0
264867,1,2,5,6.0
264898,1,0,5,6.0
264911,1,2,5,7.0
264933,1,3,5,8.0
264955,2,-2,5,7.0
264987,1,-1,5,7.0
264998,1,7,1,6.0
265033,1,3,1,7.0
265043,1,4,1,6.0
265065,1,7,1,6.0
265086,1,5,1,6.0
265104,1,-2,1,6.0
265143,2,12,1,6.0
265165,2,2,1,8.0
265187,1,3,1,7.0
265209,2,0,1,6.0
265231,3,-2,1,8.0
265251,2,4,2,7.0
265274,1,6,2,6.0
265297,1,5,2,6.0
265312,1,8,2,6.0
265340,1,1,2,6.0
265363,2,6,2,6.0
265379,1,1,2,8.0
265394,2,5,2,6.0
265416,3,27,2,6.0
265450,3,4,2,6.0
265473,2,-2,3,8.0
265483,1,-1,3,6.0
265503,1,7,3,6.0
265527,2,8,3,6.0
265561,1,6,3,7.0
265583,1,1,3,7.0
265605,2,2,3,6.0
265626,1,4,3,6.0
265636,1,13,3,7.0
265658,1,1,4,6.0
265680,1,6,4,6.0
265702,2,0,4,7.0
265724,3,1,4,11.0
265759,2,0,4,6.0
265769,1,2,4,7.0
265790,1,3,4,6.0
265813,1,0,4,8.0
265847,2,4,4,6.0
265856,1,2,1,6.0
265879,1,1,1,7.0
265900,2,3,1,8.0
265922,1,5,1,7.0
265957,2,1,1,6.0
265965,1,0,1,7.0
265989,1,5,1,6.0
266011,1,2,1,8.0
266044,1,6,1,8.0
266060,1,10,2,6.0
266081,1,7,2,6.0
266107,2,5,2,6.0
266126,1,21,2,6.0
266135,1,-5,2,7.0
266157,1,1,2,8.0
266198,1,8,2,6.0
266220,1,16,2,6.0
266236,1,8,2,6.0
266257,2,3,2,8.0
266282,1,2,2,6.0
266307,1,-1,2,7.0
266310,2,9,2,6.0
266332,1,4,2,6.0
266354,2,6,2,6.0
266376,3,4,2,6.0
266412,1,3,3,6.0
266427,1,3,3,7.0
266449,2,3,3,8.0
266485,1,5,3,6.0
266507,2,4,3,6.0
266527,3,-1,3,8.0
266531,1,4,3,7.0
266572,1,3,3,6.0
266588,1,4,3,6.0
266610,2,8,3,6.0
266632,3,-3,3,9.0
266642,1,8,3,8.0
266664,1,2,3,7.0
266686,2,26,3,7.0
266708,1,-2,3,7.0
266730,2,1,3,8.0
266751,1,4,4,8.0
266781,1,2,4,8.0
266796,1,7,4,7.0
266818,1,5,4,8.0
266840,2,1,4,7.0
266881,1,-3,4,7.0
266901,1,3,4,8.0
266923,2,-3,4,8.0
266945,3,0,4,8.0
266969,2,2,1,7.0
266991,1,1,1,7.0
267013,2,2,1,7.0
267023,1,4,1,8.0
267045,2,-1,1,6.0
267079,1,4,1,7.0
267101,2,-2,1,7.0
267105,2,5,1,6.0
267133,3,9,1,4.0
267162,1,6,1,7.0
267184,2,1,1,7.0
267206,2,7,2,7.0
267220,1,-1,2,9.0
267251,1,8,2,7.0
267276,2,15,2,8.0
267281,1,14,2,7.0
267303,1,4,2,7.0
267325,2,5,2,8.0
267353,2,4,2,6.0
267368,1,11,2,7.0
267389,3,1,2,8.0
267412,1,1,2,7.0
267434,1,0,2,10.0
267456,2,-1,2,9.0
267492,1,2,2,8.0
267506,2,1,3,7.0
267541,1,-2,3,7.0
267544,1,2,3,7.0
267585,2,5,3,7.0
267607,1,7,3,7.0
267629,2,2,3,7.0
267651,1,1,3,7.0
267661,1,11,3,7.0
267683,1,3,3,8.0
267704,2,6,3,8.0
267734,2,2,3,8.0
267761,1,-1,4,7.0
267770,1,0,4,7.0
267785,1,-5,4,7.0
267814,1,10,4,6.0
267830,1,1,4,7.0
267871,1,1,4,7.0
267888,1,9,4,7.0
267910,2,5,4,8.0
267931,1,4,4,7.0
267958,2,1,4,7.0
267981,1,1,4,7.0
268003,2,3,4,7.0
268020,1,2,4,8.0
268041,2,0,4,7.0
268063,3,4,4,7.0
268086,1,6,1,7.0
268107,2,1,1,6.0
268129,3,1,1,6.0
268145,1,0,1,6.0
268175,2,3,1,8.0
268181,1,1,1,7.0
268218,1,3,1,6.0
268225,2,31,1,6.0
268247,2,4,1,6.0
268285,1,6,1,7.0
268305,2,3,1,6.0
268313,2,0,1,7.0
268348,2,4,1,6.0
268371,1,1,2,7.0
268395,2,10,2,7.0
268401,1,3,2,8.0
268425,3,9,2,8.0
268445,1,0,2,7.0
268467,1,7,2,7.0
268489,1,7,2,6.0
268526,1,2,2,8.0
268533,1,6,2,7.0
268555,2,1,2,6.0
268577,1,2,2,6.0
268599,2,4,2,6.0
268636,1,8,2,6.0
268658,2,11,2,6.0
268666,1,-7,3,7.0
268702,1,4,3,7.0
268709,1,4,3,6.0
268731,2,5,3,6.0
268767,1,2,3,7.0
268788,2,5,3,6.0
268811,2,2,3,6.0
268833,1,3,3,7.0
268843,1,-2,3,8.0
268865,1,17,3,7.0
268887,1,11,3,7.0
268907,1,5,3,7.0
268929,2,6,3,7.0
268951,1,1,3,8.0
268975,2,1,3,8.0
269011,1,12,3,7.0
269032,3,4,4,8.0
269054,1,4,4,7.0
269077,1,3,4,7.0
269098,3,0,4,6.0
269105,2,10,4,7.0
269140,1,0,4,5.0
269163,3,11,4,6.0
269171,2,2,4,7.0
269193,1,-1,4,8.0
269230,1,2,4,8.0
269251,1,1,4,8.0
269273,2,7,4,7.0
269295,3,0,4,8.0
269315,1,5,1,6.0
269343,2,3,1,6.0
269366,3,5,1,7.0
269376,2,2,1,7.0
269406,1,5,1,7.0
269432,2,3,1,5.0
269455,1,10,1,8.0
269473,1,0,1,6.0
269485,1,23,1,7.0
269509,1,12,1,6.0
269539,2,2,1,8.0
269553,1,6,2,5.0
269573,2,0,2,7.0
269598,2,-2,2,6.0
269619,1,8,2,8.0
269639,2,1,2,8.0
269671,1,2,2,7.0
269696,2,8,2,6.0
269717,1,0,2,6.0
269721,1,3,2,6.0
269750,1,1,3,6.0
269771,1,-1,3,11.0
269806,1,-1,3,8.0
269816,1,4,3,7.0
269830,1,-2,3,6.0
269861,1,2,3,6.0
269884,2,6,4,6.0
269916,3,1,4,8.0
269926,1,4,4,6.0
269947,2,3,4,8.0
269968,1,1,4,9.0
269991,2,5,4,8.0
270015,3,1,4,7.0
270035,1,-4,4,7.0
270057,2,3,4,7.0
270080,1,-1,1,8.0
270102,2,12,1,7.0
270124,1,6,1,7.0
270146,1,2,1,6.0
270181,1,0,1,7.0
270203,2,-3,1,6.0
270225,1,10,1,7.0
270247,1,5,1,8.0
270269,1,4,1,7.0
270291,2,-4,1,9.0
270306,3,-1,1,7.0
270322,1,7,1,8.0
270344,2,6,2,6.0
270366,1,3,2,8.0
270388,2,5,2,7.0
270410,1,3,2,7.0
270432,1,1,2,7.0
270452,1,4,2,7.0
270474,2,15,2,7.0
270511,1,-1,2,6.0
270533,1,1,2,6.0
270555,1,8,3,6.0
270577,2,0,3,5.0
270599,2,3,3,6.0
270620,1,-1,3,7.0
270643,3,2,3,8.0
270651,1,1,3,7.0
270673,2,5,3,7.0
270709,1,3,3,9.0
270731,4,1,3,7.0
270739,1,7,3,8.0
270765,1,4,3,7.0
270783,2,2,3,8.0
270819,2,5,3,8.0
270827,1,3,4,8.0
270863,1,3,4,6.0
270885,2,68,4,5.0
270893,2,0,4,8.0
270915,1,7,4,6.0
270937,2,0,4,8.0
270973,1,1,4,7.0
270985,2,4,4,6.0
271003,1,2,4,8.0
271025,2,2,4,8.0
271047,3,0,4,8.0
271081,2,1,1,6.0
271103,3,0,1,6.0
271127,1,7,1,7.0
271145,1,3,1,8.0
271166,1,19,1,7.0
271191,1,2,1,6.0
271203,1,4,1,5.0
271235,1,0,1,6.0
271240,3,4,1,6.0
271276,1,18,1,8.0
271299,1,1,1,7.0
271322,1,6,2,6.0
271343,1,5,2,7.0
271369,2,6,2,6.0
271391,2,9,2,6.0
271409,3,1,2,8.0
271431,1,11,2,7.0
271445,1,3,2,8.0
271467,1,3,2,6.0
271489,2,6,2,7.0
271511,2,13,2,6.0
271529,1,0,2,6.0
271564,1,5,2,6.0
271570,1,27,2,6.0
271599,1,7,3,6.0
271621,2,5,3,7.0
271643,1,3,3,5.0
271677,1,7,3,7.0
271694,1,0,3,8.0
271717,1,-2,3,6.0
271739,2,8,3,6.0
271753,1,0,3,8.0
271774,2,-3,3,7.0
271797,1,4,3,6.0
271819,1,4,4,7.0
271841,2,0,4,7.0
271872,1,6,4,6.0
271897,1,10,4,5.0
271907,1,-1,4,7.0
271929,1,4,4,8.0
271951,2,-2,4,8.0
271973,3,-4,4,7.0
271989,1,5,1,7.0
272012,2,6,1,8.0
272034,1,1,1,7.0
272070,1,2,1,8.0
272091,2,10,1,7.0
272115,2,11,1,8.0
272135,1,1,1,7.0
272144,1,1,1,7.0
272166,1,13,1,6.0
272187,2,14,1,7.0
272210,1,13,1,7.0
272232,1,8,1,8.0
272254,2,1,1,6.0
272276,3,8,1,9.0
272297,1,0,1,6.0
272334,2,0,2,7.0
272346,1,6,2,8.0
272368,2,0,2,7.0
272385,1,5,2,7.0
272407,1,1,2,8.0
272429,1,2,2,8.0
272451,2,1,2,7.0
272474,3,1,2,11.0
272510,1,1,3,7.0
272518,1,-4,3,7.0
272556,1,4,3,8.0
272562,1,1,3,7.0
272584,2,1,3,8.0
272606,1,17,3,6.0
272627,2,15,3,7.0
272654,1,1,3,8.0
272685,2,8,3,7.0
272694,1,17,3,7.0
272716,1,16,3,6.0
272738,1,6,3,8.0
272760,1,-2,4,8.0
272781,1,4,4,8.0
272804,2,0,4,7.0
272841,1,8,4,6.0
272863,2,3,4,7.0
272885,2,9,4,7.0
272905,2,2,4,7.0
272914,1,2,4,8.0
272936,3,7,4,6.0
272958,1,-1,4,9.0
272980,2,2,4,9.0
273006,1,-1,1,7.0
273027,2,0,1,7.0
273049,3,4,1,6.0
273075,1,29,1,7.0
273101,1,1,1,8.0
273127,3,0,1,8.0
273137,1,2,1,8.0
273159,1,3,1,7.0
273181,2,5,1,8.0
273216,1,0,2,7.0
273226,2,7,2,6.0
273259,1,5,2,7.0
273283,2,3,2,6.0
273305,2,13,2,7.0
273327,1,5,2,6.0
273331,1,1,2,8.0
273357,1,3,2,7.0
273387,1,7,2,7.0
273409,2,6,2,7.0
273431,1,9,3,8.0
273446,1,2,3,6.0
273466,2,17,3,8.0
273490,2,2,3,7.0
273525,1,2,3,7.0
273546,2,3,3,8.0
273562,1,4,3,8.0
273585,1,9,4,7.0
273612,1,1,4,11.0
273621,1,16,4,6.0
273643,1,4,4,6.0
273666,2,-1,4,7.0
273687,1,7,4,6.0
273723,1,4,4,7.0
273739,1,-1,4,8.0
273767,2,6,1,8.0
273788,1,0,1,8.0
273810,2,4,1,6.0
273821,3,10,1,6.0
273855,2,5,1,7.0
273876,1,3,1,7.0
273887,1,2,1,6.0
273910,2,5,1,6.0
273943,1,7,1,7.0
273964,2,0,1,7.0
273975,1,24,1,6.0
273998,1,-2,2,7.0
274031,1,5,2,8.0
274053,1,9,2,8.0
274075,2,6,2,8.0
274097,1,11,2,7.0
274119,1,5,2,8.0
274141,2,-1,2,8.0
274151,1,2,2,7.0
274173,1,3,3,7.0
274205,2,2,3,8.0
274227,1,2,3,6.0
274248,2,2,3,6.0
274261,2,7,3,7.0
274283,1,3,3,6.0
274306,2,3,3,7.0
274339,1,1,3,8.0
274360,2,1,3,6.0
274381,1,5,3,8.0
274393,1,3,3,6.0
274426,1,0,3,8.0
274438,1,-1,3,7.0
274470,1,14,4,6.0
274492,1,5,4,7.0
274503,1,2,4,9.0
274536,2,5,4,7.0
274558,1,0,4,7.0
274581,2,4,4,8.0
274592,1,-2,4,5.0
274625,1,17,4,8.0
274647,1,5,4,8.0
274669,2,15,4,8.0
274691,1,0,4,7.0
274712,2,3,4,8.0
274734,3,2,4,7.0
274757,1,1,1,6.0
274779,2,11,1,5.0
274790,1,7,1,7.0
274810,2,4,1,6.0
274834,3,11,1,6.0
274855,2,2,1,7.0
274877,1,2,1,6.0
274898,2,6,1,6.0
274933,1,2,2,6.0
274955,2,2,2,6.0
274964,1,6,2,6.0
274987,3,0,2,7.0
275021,1,1,2,6.0
275043,2,3,2,6.0
275065,2,-1,2,7.0
275074,2,7,2,5.0
275107,1,1,2,6.0
275131,1,8,2,5.0
275140,2,10,3,6.0
275163,1,8,3,6.0
275197,2,1,3,6.0
275219,1,8,3,6.0
275241,2,3,3,6.0
275263,1,1,3,6.0
275284,1,6,3,6.0
275294,1,5,4,6.0
275316,2,4,4,6.0
275338,1,0,4,6.0
275362,3,5,4,6.0
275382,1,2,4,7.0
275404,2,1,4,7.0
275426,1,16,4,6.0
275448,2,11,4,7.0
275483,1,0,4,8.0
275505,2,2,4,9.0
275527,3,5,4,9.0
275529,1,13,1,6.0
275551,1,4,1,6.0
275573,1,1,1,7.0
275599,3,3,1,6.0
275622,2,5,1,6.0
275651,1,-7,1,8.0
275676,3,5,1,6.0
275687,1,0,1,7.0
275710,1,6,1,7.0
275727,1,3,1,6.0
275750,1,14,1,7.0
275771,1,0,1,7.0
275798,3,14,1,4.0
275834,1,5,2,8.0
275856,3,8,2,7.0
275878,1,-5,2,8.0
275886,1,4,2,6.0
275911,3,-9,2,6.0
275937,1,0,2,8.0
275959,1,3,2,7.0
275969,2,2,2,6.0
276007,2,3,2,7.0
276013,1,10,3,6.0
276034,1,2,3,7.0
276058,1,5,3,6.0
276098,1,0,3,7.0
276120,2,9,3,6.0
276135,1,1,3,6.0
276150,1,1,3,7.0
276172,3,3,3,5.0
276204,1,6,3,6.0
276215,1,4,3,7.0
276237,2,62,3,7.0
276255,1,1,4,8.0
276277,2,5,4,8.0
276299,3,2,4,8.0
276334,2,6,4,6.0
276352,1,5,4,7.0
276374,2,3,4,8.0
276396,3,0,4,8.0
276418,1,1,4,8.0
276440,2,4,4,8.0
276462,3,2,4,8.0
276488,1,3,1,7.0
276510,2,2,1,7.0
276538,1,9,1,8.0
276555,2,4,1,8.0
276576,2,10,1,6.0
276588,1,6,1,6.0
276612,2,2,1,7.0
276643,1,3,1,7.0
276664,1,4,1,8.0
276685,1,-5,2,7.0
276704,1,12,2,7.0
276722,1,2,2,6.0
276753,1,4,2,7.0
276775,2,3,2,8.0
276797,2,13,2,6.0
276819,1,0,2,6.0
276832,1,11,2,7.0
276851,1,6,2,7.0
276880,2,4,2,7.0
276898,1,4,2,6.0
276934,2,4,2,6.0
276942,1,15,3,6.0
276964,1,2,3,6.0
276986,1,4,3,6.0
277008,2,3,3,7.0
277030,1,3,3,7.0
277052,2,-1,3,7.0
277082,1,3,3,7.0
277104,2,9,3,7.0
277118,1,6,3,6.0
277140,2,6,3,6.0
277162,1,5,3,6.0
277193,1,6,3,7.0
277215,2,2,3,7.0
277228,1,3,3,6.0
277264,2,1,4,8.0
277272,3,2,4,6.0
277294,1,3,4,7.0
277316,2,23,4,6.0
277338,1,2,4,6.0
277360,2,5,4,6.0
277382,1,10,4,6.0
277404,3,3,4,7.0
277440,1,9,4,4.0
277462,1,9,4,6.0
277484,2,1,4,6.0
277495,2,1,1,8.0
277528,1,-1,1,8.0
277549,2,4,1,5.0
277571,1,-3,1,10.0
277583,1,7,1,8.0
277604,2,14,1,6.0
277634,1,11,1,6.0
277649,1,1,1,7.0
277681,1,11,1,6.0
277703,1,1,1,6.0
277725,2,5,1,6.0
277747,1,5,1,6.0
277771,2,-3,1,6.0
277792,1,0,2,7.0
277801,1,2,2,7.0
277822,2,-7,2,6.0
277843,1,1,2,10.0
277881,1,1,2,8.0
277903,1,9,2,6.0
277925,3,3,2,6.0
277946,2,8,2,7.0
277956,2,0,2,5.0
277976,2,6,2,6.0
277999,1,0,2,10.0
278022,1,3,3,6.0
278056,1,7,3,7.0
278079,1,-2,3,6.0
278089,1,3,3,8.0
278108,1,3,3,7.0
278139,2,10,3,7.0
278161,1,2,3,7.0
278177,1,6,3,7.0
278196,1,3,3,7.0
278227,2,1,3,6.0
278241,2,2,4,6.0
278260,3,7,4,8.0
278299,1,6,4,8.0
278316,2,2,4,8.0
278341,1,5,4,7.0
278365,1,21,4,7.0
278387,1,-3,4,8.0
278403,2,1,4,7.0
278431,1,1,4,8.0
278453,2,2,4,9.0
278475,3,4,4,9.0
278481,1,22,1,7.0
278507,1,7,1,6.0
278528,1,3,1,7.0
278562,1,3,1,7.0
278583,1,0,1,8.0
278605,3,27,1,8.0
278628,1,2,1,8.0
278639,1,3,2,6.0
278656,1,4,2,7.0
278683,1,9,2,8.0
278706,2,1,2,6.0
278727,2,1,2,6.0
278758,1,3,2,7.0
278780,2,36,2,6.0
278804,2,5,2,7.0
278827,1,4,2,6.0
278848,2,-2,2,7.0
278855,1,5,2,7.0
278890,1,4,2,6.0
278902,1,4,3,8.0
278934,1,-5,3,8.0
278956,2,3,3,7.0
278981,1,13,3,8.0
279003,1,18,3,6.0
279023,1,6,3,7.0
279035,2,5,3,7.0
279066,1,19,3,6.0
279088,1,8,3,7.0
279113,2,3,3,7.0
279135,1,1,3,8.0
279144,1,11,3,7.0
279166,1,4,3,5.0
279199,1,5,4,6.0
279222,1,8,4,6.0
279244,2,-3,4,7.0
279264,1,4,4,6.0
279286,2,-6,4,7.0
279308,1,0,4,7.0
279330,3,0,4,8.0
279344,2,0,1,6.0
279367,1,0,1,7.0
279389,2,3,1,6.0
279406,1,3,1,7.0
279432,1,16,1,7.0
279450,1,0,1,6.0
279472,2,-2,1,7.0
279494,1,20,1,8.0
279521,1,5,1,7.0
279543,1,0,1,6.0
279564,1,22,2,7.0
279586,1,16,2,7.0
279604,1,5,2,7.0
279637,2,2,2,6.0
279659,3,-1,2,6.0
279670,1,3,2,7.0
279696,1,3,2,8.0
279711,1,-2,2,8.0
279740,1,5,2,5.0
279762,2,10,2,4.0
279785,1,0,3,6.0
279807,2,27,3,7.0
279831,1,1,3,11.0
279850,2,0,3,8.0
279873,2,0,3,7.0
279890,2,3,3,7.0
279917,2,1,3,6.0
279934,1,0,3,7.0
279961,1,3,3,7.0
279984,2,6,4,7.0
280000,1,-4,4,7.0
280026,1,3,4,7.0
280048,1,0,4,7.0
280070,2,1,4,7.0
280092,1,1,4,8.0
280114,1,0,4,7.0
280141,2,5,4,6.0
280169,1,8,1,7.0
280191,2,3,1,7.0
280202,2,9,1,4.0
280223,1,7,1,7.0
280245,2,2,1,8.0
280263,1,2,1,6.0
280301,1,16,1,7.0
280322,1,6,1,6.0
280344,2,5,1,7.0
280367,1,3,2,7.0
280372,2,4,2,6.0
280411,1,0,2,6.0
280422,1,0,2,6.0
280455,2,0,2,7.0
280466,2,4,2,5.0
280498,2,6,2,6.0
280510,2,5,3,7.0
280528,1,1,3,6.0
280565,2,3,3,7.0
280576,1,5,3,7.0
280597,3,5,3,8.0
280619,1,2,4,8.0
280653,1,2,4,6.0
280674,2,5,4,7.0
280697,1,5,4,7.0
280719,3,-1,4,7.0
280741,1,2,4,7.0
280762,2,3,4,7.0
280785,1,4,4,6.0
280807,2,0,4,7.0
280829,1,0,4,7.0
280851,1,11,4,6.0
280861,1,3,5,5.0
280883,1,1,5,6.0
280917,2,9,5,7.0
280923,1,9,5,6.0
280945,2,4,5,5.0
280970,2,3,1,8.0
280990,3,3,1,6.0
281026,1,1,1,8.0
281034,1,2,1,6.0
281057,2,0,1,7.0
281093,1,2,1,9.0
281115,1,1,1,8.0
281136,3,2,1,9.0
281159,2,0,1,11.0
281168,1,1,1,8.0
281190,2,3,1,8.0
281210,1,1,1,6.0
281234,2,4,1,7.0
281264,1,1,2,6.0
281290,2,3,2,7.0
281308,1,4,2,6.0
281322,1,3,2,7.0
281342,4,-1,2,7.0
281374,1,4,2,8.0
281396,1,4,2,7.0
281421,2,-1,2,6.0
281430,2,3,2,6.0
281453,1,2,2,8.0
281475,2,2,2,7.0
281505,2,1,3,7.0
281529,3,0,3,9.0
281541,1,4,3,7.0
281562,1,2,3,6.0
281586,2,2,3,7.0
281610,1,6,3,7.0
281629,2,1,3,7.0
281651,3,1,3,9.0
281673,2,10,3,6.0
281698,1,8,3,8.0
281730,1,18,4,8.0
281747,2,0,4,8.0
281774,1,9,4,7.0
281795,2,3,4,7.0
281817,1,3,4,7.0
281829,1,-8,4,7.0
281858,2,4,4,9.0
281885,2,0,4,9.0
281907,3,5,4,8.0
281929,1,-1,4,9.0
281939,1,0,1,6.0
281961,2,2,1,7.0
281986,1,1,1,8.0
282017,1,0,1,8.0
282035,1,5,1,6.0
282056,2,9,1,8.0
282074,1,-1,1,8.0
282093,1,6,1,6.0
282111,2,3,1,7.0
282136,3,6,1,7.0
282167,1,-3,1,7.0
282174,2,1,2,7.0
282206,2,4,2,7.0
282219,1,3,2,5.0
282255,1,2,2,7.0
282266,2,5,2,6.0
282292,1,9,2,6.0
282321,1,10,3,6.0
282342,1,-5,3,7.0
282365,1,1,3,7.0
282378,1,4,3,7.0
282400,1,4,3,6.0
282417,2,5,3,5.0
282448,1,2,3,7.0
282470,1,0,3,8.0
282490,2,11,3,6.0
282505,1,8,3,7.0
282527,2,-1,3,6.0
282563,2,1,3,7.0
282584,2,12,4,8.0
282606,1,-2,4,7.0
282614,1,0,4,7.0
282651,1,2,4,6.0
282673,1,3,4,5.0
282687,1,20,4,5.0
282703,1,5,4,6.0
282729,1,-7,4,7.0
282752,2,-2,4,6.0
282768,1,4,4,8.0
282790,2,0,4,8.0
282813,3,8,4,7.0
282841,1,5,1,6.0
282874,1,-3,1,7.0
282885,1,1,1,7.0
282907,1,1,1,6.0
282939,1,3,1,6.0
282951,1,6,1,7.0
282968,2,31,1,6.0
282995,1,2,1,6.0
283027,1,-1,1,7.0
283049,1,6,2,5.0
283061,1,9,2,6.0
283083,1,4,2,8.0
283105,2,-1,2,7.0
283137,1,3,2,6.0
283149,1,1,3,6.0
283181,1,3,3,7.0
283204,1,1,3,7.0
283225,1,9,3,5.0
283248,1,0,3,9.0
283270,2,1,3,10.0
283285,2,2,3,7.0
283303,1,6,3,6.0
283325,2,3,3,6.0
283347,2,-1,4,8.0
283369,2,8,4,7.0
283391,1,0,4,6.0
283413,1,16,4,6.0
283435,1,9,4,8.0
283457,2,3,4,8.0
283479,2,3,4,8.0
283494,3,3,4,6.0
283523,2,-7,1,6.0
283557,1,9,1,5.0
283567,1,5,1,7.0
283589,2,-1,1,6.0
283620,1,9,1,7.0
283644,1,4,1,6.0
283654,1,4,1,7.0
283678,2,2,1,6.0
283699,1,8,1,8.0
283730,1,-6,1,8.0
283752,1,1,2,7.0
283767,2,0,2,7.0
283788,3,2,2,7.0
283808,2,6,2,6.0
283831,2,15,2,6.0
283853,1,0,2,5.0
283875,3,6,2,5.0
283900,1,7,2,6.0
283917,1,20,3,7.0
283939,1,2,3,8.0
283973,1,8,3,8.0
283995,1,0,3,7.0
284017,2,3,3,7.0
284038,1,2,3,7.0
284061,1,2,3,7.0
284076,3,6,3,7.0
284098,1,0,3,7.0
284118,1,7,3,6.0
284137,2,2,3,7.0
284170,2,-3,4,7.0
284194,1,3,4,7.0
284205,3,4,4,7.0
284227,1,0,4,6.0
284246,1,3,4,6.0
284268,2,3,4,6.0
284290,3,0,4,7.0
284324,1,-3,4,9.0
284347,1,2,4,8.0
284369,2,0,4,7.0
284391,1,0,4,7.0
284412,2,0,4,9.0
284427,3,0,4,9.0
284439,1,3,1,6.0
284461,2,3,1,6.0
284500,1,9,1,7.0
284522,1,1,1,8.0
284544,2,3,1,7.0
284549,1,6,1,6.0
284571,2,18,1,7.0
284594,2,8,1,6.0
284626,1,1,1,7.0
284648,2,5,1,6.0
284661,1,3,1,7.0
284683,1,4,2,6.0
284705,1,3,2,6.0
284741,1,-3,2,7.0
284764,3,2,2,7.0
284780,2,4,2,7.0
284791,1,3,2,6.0
284825,1,-3,2,7.0
284847,2,6,2,7.0
284868,1,4,2,6.0
284896,1,3,2,7.0
284918,2,0,2,7.0
284935,3,6,2,8.0
284961,1,4,3,7.0
284979,2,2,3,8.0
284989,1,3,3,8.0
285011,1,3,3,6.0
285033,2,5,3,6.0
285055,1,1,3,7.0
285089,1,1,3,7.0
285099,2,10,3,6.0
285121,1,7,3,8.0
285143,2,5,3,8.0
285165,1,0,3,7.0
285188,1,8,4,6.0
285210,2,7,4,7.0
285232,1,3,4,6.0
285270,1,6,4,7.0
285291,2,1,4,8.0
285309,2,-1,4,7.0
285319,1,1,4,6.0
285352,1,13,4,7.0
285374,1,1,4,6.0
285402,1,8,4,8.0
285424,2,1,4,8.0
285440,1,3,4,8.0
285467,1,2,4,7.0
285489,2,2,4,7.0
285507,3,0,4,8.0
285526,2,11,1,7.0
285546,1,8,1,7.0
285568,2,1,1,7.0
285592,2,8,1,7.0
285613,1,6,1,7.0
285635,2,1,1,7.0
285667,1,25,1,6.0
285685,2,-1,1,6.0
285700,1,1,1,7.0
285722,2,3,1,7.0
285750,2,2,1,6.0
285777,3,1,1,8.0
285794,3,-3,1,6.0
285812,1,4,2,7.0
285834,2,2,2,8.0
285862,2,8,2,6.0
285877,1,1,2,7.0
285898,2,2,2,6.0
285920,3,5,2,7.0
285944,1,6,2,8.0
285965,2,8,2,6.0
285992,1,0,2,6.0
286009,2,-2,2,8.0
286041,1,4,2,6.0
286058,1,-5,2,6.0
286080,1,-3,3,6.0
286103,1,0,3,6.0
286125,1,5,3,6.0
286140,2,2,3,7.0
286169,1,-1,3,6.0
286191,2,3,3,6.0
286206,2,5,3,8.0
286234,1,14,3,6.0
286257,1,-3,3,6.0
286278,1,4,3,6.0
286301,1,1,3,6.0
286318,1,4,4,7.0
286340,2,5,4,6.0
286361,2,0,4,6.0
286384,1,18,4,8.0
286406,1,2,4,8.0
286428,2,1,4,8.0
286457,1,-1,1,8.0
286479,1,4,1,8.0
286501,1,-4,1,8.0
286512,1,1,1,7.0
286534,2,7,1,7.0
286556,1,4,1,7.0
286589,1,1,1,7.0
286611,2,-2,1,6.0
286632,3,1,1,7.0
286645,1,-2,1,8.0
286677,2,11,2,8.0
286689,2,4,2,7.0
286721,1,9,2,8.0
286743,2,0,2,8.0
286765,2,3,2,8.0
286787,2,4,2,6.0
286798,1,1,2,6.0
286820,2,4,2,6.0
286853,2,1,2,6.0
286875,3,4,2,8.0
286897,1,1,2,7.0
286919,3,1,2,7.0
286941,4,1,2,8.0
286953,1,5,3,7.0
286975,2,3,3,7.0
286997,3,1,3,8.0
287029,1,1,3,7.0
287037,1,1,3,8.0
287062,2,5,3,7.0
287084,1,6,3,6.0
287117,1,5,3,7.0
287139,3,2,3,8.0
287161,1,9,3,7.0
287183,2,-3,3,8.0
287205,3,2,4,8.0
287218,1,5,4,6.0
287249,1,19,4,8.0
287271,1,6,4,8.0
287293,1,2,4,8.0
287315,2,-1,4,8.0
287336,1,5,4,7.0
287358,2,-4,4,6.0
287380,1,5,4,8.0
287402,2,5,4,8.0
287424,1,1,4,8.0
287436,2,9,4,6.0
287461,1,1,1,8.0
287483,2,4,1,7.0
287497,1,3,1,7.0
287527,3,1,1,7.0
287559,1,28,1,7.0
287576,1,2,1,7.0
287603,3,0,1,5.0
287607,1,12,1,7.0
287629,1,2,1,7.0
287669,1,9,1,6.0
287686,3,6,1,8.0
287708,1,2,1,6.0
287735,1,3,2,7.0
287757,1,0,2,7.0
